College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639363096,1-44639363096,U-0953,INDO DANISH TOOL ROOM,Active,Jharkhand,Seraikela Kharsawan,Seraikela Kharsawan,"M4(PART), PHASE-VI, TATA-KANDRA ROAD, GAMHARIA.",834339,23.605021,85.282406,Govt aided,"State Board of Technical Education, Jharkhand",Approved,Approved,B,Yes,,Tier 3,http://www.indodanishtool.ac.in,info@indodanishtool.ac.in,admissions@indodanishtool.ac.in,placement@indodanishtool.ac.in,+91-80-621-6336,Mechanical Engineering,Diploma,420,420,1992,Urban,Yes,Yes
1-44639633049,1-44639633049,U-0953,"GOVERNMENT WOMEN'S POLYTECHNIC,JAMSHEDPUR",Active,Jharkhand,Seraikela Kharsawan,Seraikela Kharsawan,"NEAR THANA MORE,GAMHARIA",834339,23.622114,85.273109,Government,"State Board of Technical Education, Jharkhand",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicjamshedpur.ac.in,info@polytechnicjamshedpur.ac.in,admissions@polytechnicjamshedpur.ac.in,placement@polytechnicjamshedpur.ac.in,+91-80-338-5556,Electronics & Communication Engineering (ECE),Diploma,60,240,2022,Rural,Yes,Yes
1-44639633049,1-44639633049,U-0953,"GOVERNMENT WOMEN'S POLYTECHNIC,JAMSHEDPUR",Active,Jharkhand,Seraikela Kharsawan,Seraikela Kharsawan,"NEAR THANA MORE,GAMHARIA",834339,23.622114,85.273109,Government,"State Board of Technical Education, Jharkhand",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicjamshedpur.ac.in,info@polytechnicjamshedpur.ac.in,admissions@polytechnicjamshedpur.ac.in,placement@polytechnicjamshedpur.ac.in,+91-80-338-5556,Computer Science Engineering (CSE),Diploma,60,240,2022,Rural,Yes,Yes
1-44639633049,1-44639633049,U-0953,"GOVERNMENT WOMEN'S POLYTECHNIC,JAMSHEDPUR",Active,Jharkhand,Seraikela Kharsawan,Seraikela Kharsawan,"NEAR THANA MORE,GAMHARIA",834339,23.622114,85.273109,Government,"State Board of Technical Education, Jharkhand",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicjamshedpur.ac.in,info@polytechnicjamshedpur.ac.in,admissions@polytechnicjamshedpur.ac.in,placement@polytechnicjamshedpur.ac.in,+91-80-338-5556,Mechanical Engineering,Diploma,60,240,2022,Rural,Yes,Yes
1-44639633049,1-44639633049,U-0953,"GOVERNMENT WOMEN'S POLYTECHNIC,JAMSHEDPUR",Active,Jharkhand,Seraikela Kharsawan,Seraikela Kharsawan,"NEAR THANA MORE,GAMHARIA",834339,23.622114,85.273109,Government,"State Board of Technical Education, Jharkhand",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicjamshedpur.ac.in,info@polytechnicjamshedpur.ac.in,admissions@polytechnicjamshedpur.ac.in,placement@polytechnicjamshedpur.ac.in,+91-80-338-5556,Civil Engineering,Diploma,60,240,2022,Rural,Yes,Yes
1-44639724444,1-44639724444,U-0871,"GOVERNMENT POLYTECHNIC, KHARSAWAN",Active,Jharkhand,Seraikela Kharsawan,Seraikela Kharsawan,"GOVERNMENT POLYTECHNIC KHARSAWAN, BARA AMDA , RAJKHARSAWAN, NEAR RAILWAY STATION, DISTRICT : SARAIKELA-KHARSAWAN, STATE : JHARKHAND, PIN-833101",833101,23.597732,85.26725,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.kharsawan.ac.in,info@kharsawan.ac.in,admissions@kharsawan.ac.in,placement@kharsawan.ac.in,+91-80-315-9343,Computer Science Engineering (CSE),Diploma,60,180,2020,Urban,Yes,Yes
1-44639724444,1-44639724444,U-0871,"GOVERNMENT POLYTECHNIC, KHARSAWAN",Active,Jharkhand,Seraikela Kharsawan,Seraikela Kharsawan,"GOVERNMENT POLYTECHNIC KHARSAWAN, BARA AMDA , RAJKHARSAWAN, NEAR RAILWAY STATION, DISTRICT : SARAIKELA-KHARSAWAN, STATE : JHARKHAND, PIN-833101",833101,23.597732,85.26725,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.kharsawan.ac.in,info@kharsawan.ac.in,admissions@kharsawan.ac.in,placement@kharsawan.ac.in,+91-80-315-9343,Electronics & Communication Engineering (ECE),Diploma,60,180,2020,Urban,Yes,Yes
1-44639724444,1-44639724444,U-0871,"GOVERNMENT POLYTECHNIC, KHARSAWAN",Active,Jharkhand,Seraikela Kharsawan,Seraikela Kharsawan,"GOVERNMENT POLYTECHNIC KHARSAWAN, BARA AMDA , RAJKHARSAWAN, NEAR RAILWAY STATION, DISTRICT : SARAIKELA-KHARSAWAN, STATE : JHARKHAND, PIN-833101",833101,23.597732,85.26725,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.kharsawan.ac.in,info@kharsawan.ac.in,admissions@kharsawan.ac.in,placement@kharsawan.ac.in,+91-80-315-9343,Electrical Engineering,Diploma,60,180,2020,Urban,Yes,Yes
1-44640528763,1-44640528763,U-0050,AL-KABIR POLYTECHNIC,Active,Jharkhand,Seraikela Kharsawan,Seraikela Kharsawan,"KABIRNAGAR, P.O. KOPALI, VIA MANGO",834339,23.59497,85.266577,Private-Self Financing,Jharkhand University of Technology,Approved,Approved,B,No,,Tier 3,http://www.alkabir.ac.in,info@alkabir.ac.in,admissions@alkabir.ac.in,placement@alkabir.ac.in,+91-80-200-0682,Mechanical Engineering,Diploma,180,750,1995,Urban,Yes,No
1-44640528763,1-44640528763,U-0050,AL-KABIR POLYTECHNIC,Active,Jharkhand,Seraikela Kharsawan,Seraikela Kharsawan,"KABIRNAGAR, P.O. KOPALI, VIA MANGO",834339,23.59497,85.266577,Private-Self Financing,Jharkhand University of Technology,Approved,Approved,B,No,,Tier 3,http://www.alkabir.ac.in,info@alkabir.ac.in,admissions@alkabir.ac.in,placement@alkabir.ac.in,+91-80-200-0682,Electrical Engineering,Diploma,180,750,1995,Urban,Yes,No
