College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639662533,1-44639662533,U-0441,"GOVERNMENT POLYTECHNIC COLLEGE, MORENA",Active,Madhya Pradesh,Morena,Morena,"AMBAH ROAD, MORENA",452584,22.98192,78.645119,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.morena.ac.in,info@morena.ac.in,admissions@morena.ac.in,placement@morena.ac.in,+91-80-196-2164,Computer Science Engineering (CSE),Diploma,70,245,2019,Urban,Yes,Yes
1-44639662533,1-44639662533,U-0441,"GOVERNMENT POLYTECHNIC COLLEGE, MORENA",Active,Madhya Pradesh,Morena,Morena,"AMBAH ROAD, MORENA",452584,22.98192,78.645119,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.morena.ac.in,info@morena.ac.in,admissions@morena.ac.in,placement@morena.ac.in,+91-80-196-2164,Electrical Engineering,Diploma,70,245,2019,Urban,Yes,Yes
1-44639662533,1-44639662533,U-0441,"GOVERNMENT POLYTECHNIC COLLEGE, MORENA",Active,Madhya Pradesh,Morena,Morena,"AMBAH ROAD, MORENA",452584,22.98192,78.645119,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.morena.ac.in,info@morena.ac.in,admissions@morena.ac.in,placement@morena.ac.in,+91-80-196-2164,Electronics & Communication Engineering (ECE),Diploma,35,245,2019,Urban,Yes,Yes
1-44639662533,1-44639662533,U-0441,"GOVERNMENT POLYTECHNIC COLLEGE, MORENA",Active,Madhya Pradesh,Morena,Morena,"AMBAH ROAD, MORENA",452584,22.98192,78.645119,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.morena.ac.in,info@morena.ac.in,admissions@morena.ac.in,placement@morena.ac.in,+91-80-196-2164,Mechanical Engineering,Diploma,70,245,2019,Urban,Yes,Yes
1-44643463438,1-44643463438,U-0996,SHRIRAM INSTITUTE OF INFORMATION TECHNOLOGY,Active,Madhya Pradesh,Morena,Morena,"NATIONAL EXPRESSWAY  A.B. ROAD, BANMORE MORENA (M.P.)",452584,22.967207,78.67213,Private-Self Financing,"Jiwaji University, Gwalior",Approved,Approved,A,No,,Tier 3,http://www.shriraminformation.ac.in,info@shriraminformation.ac.in,admissions@shriraminformation.ac.in,placement@shriraminformation.ac.in,+91-80-579-1201,Computer Science Engineering (CSE),B.Tech,120,360,2017,Urban,Yes,Yes
1-44643463438,1-44643463438,U-0996,SHRIRAM INSTITUTE OF INFORMATION TECHNOLOGY,Active,Madhya Pradesh,Morena,Morena,"NATIONAL EXPRESSWAY  A.B. ROAD, BANMORE MORENA (M.P.)",452584,22.967207,78.67213,Private-Self Financing,"Jiwaji University, Gwalior",Approved,Approved,A,No,,Tier 3,http://www.shriraminformation.ac.in,info@shriraminformation.ac.in,admissions@shriraminformation.ac.in,placement@shriraminformation.ac.in,+91-80-579-1201,Civil Engineering,B.Tech,60,360,2017,Urban,Yes,Yes
1-44643463438,1-44643463438,U-0996,SHRIRAM INSTITUTE OF INFORMATION TECHNOLOGY,Active,Madhya Pradesh,Morena,Morena,"NATIONAL EXPRESSWAY  A.B. ROAD, BANMORE MORENA (M.P.)",452584,22.967207,78.67213,Private-Self Financing,"Jiwaji University, Gwalior",Approved,Approved,A,No,,Tier 3,http://www.shriraminformation.ac.in,info@shriraminformation.ac.in,admissions@shriraminformation.ac.in,placement@shriraminformation.ac.in,+91-80-579-1201,Mechanical Engineering,B.Tech,60,360,2017,Urban,Yes,Yes
1-44643463438,1-44643463438,U-0996,SHRIRAM INSTITUTE OF INFORMATION TECHNOLOGY,Active,Madhya Pradesh,Morena,Morena,"NATIONAL EXPRESSWAY  A.B. ROAD, BANMORE MORENA (M.P.)",452584,22.967207,78.67213,Private-Self Financing,"Jiwaji University, Gwalior",Approved,Approved,A,No,,Tier 3,http://www.shriraminformation.ac.in,info@shriraminformation.ac.in,admissions@shriraminformation.ac.in,placement@shriraminformation.ac.in,+91-80-579-1201,Electronics & Communication Engineering (ECE),B.Tech,60,360,2017,Urban,Yes,Yes
1-44643463438,1-44643463438,U-0996,SHRIRAM INSTITUTE OF INFORMATION TECHNOLOGY,Active,Madhya Pradesh,Morena,Morena,"NATIONAL EXPRESSWAY  A.B. ROAD, BANMORE MORENA (M.P.)",452584,22.967207,78.67213,Private-Self Financing,"Jiwaji University, Gwalior",Approved,Approved,A,No,,Tier 3,http://www.shriraminformation.ac.in,info@shriraminformation.ac.in,admissions@shriraminformation.ac.in,placement@shriraminformation.ac.in,+91-80-579-1201,Data Science,B.Tech,60,360,2017,Urban,Yes,Yes
1-44643026417,1-44643026417,U-0441,"SHRIRAM COLLEGE OF ENGINEERING & MANAGEMENT, BANMORE",Active,Madhya Pradesh,Morena,Morena,NATIONAL EXPRESSWAY A.B. ROAD BANMORE MORENA MADHYA PRADESH,452584,22.961167,78.64551,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.shrirammanagementbanmore.ac.in,info@shrirammanagementbanmore.ac.in,admissions@shrirammanagementbanmore.ac.in,placement@shrirammanagementbanmore.ac.in,+91-80-325-7655,Electronics & Communication Engineering (ECE),B.Tech,60,372,2001,Rural,No,Yes
