College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638253773,1-44638253773,U-0992,UNIVERSITY COLLEGE OF ENGINEERING ARNI,Active,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,THATCHUR,600010,11.135886,78.655845,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arni.ac.in,info@arni.ac.in,admissions@arni.ac.in,placement@arni.ac.in,+91-80-207-3849,Computer Science Engineering (CSE),B.Tech,60,240,2003,Rural,Yes,Yes
1-44638253773,1-44638253773,U-0992,UNIVERSITY COLLEGE OF ENGINEERING ARNI,Active,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,THATCHUR,600010,11.135886,78.655845,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arni.ac.in,info@arni.ac.in,admissions@arni.ac.in,placement@arni.ac.in,+91-80-207-3849,Electronics & Communication Engineering (ECE),B.Tech,60,240,2003,Rural,Yes,Yes
1-44638253773,1-44638253773,U-0992,UNIVERSITY COLLEGE OF ENGINEERING ARNI,Active,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,THATCHUR,600010,11.135886,78.655845,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arni.ac.in,info@arni.ac.in,admissions@arni.ac.in,placement@arni.ac.in,+91-80-207-3849,Electrical & Electronics Engineering (EEE),B.Tech,60,240,2003,Rural,Yes,Yes
1-44638253773,1-44638253773,U-0992,UNIVERSITY COLLEGE OF ENGINEERING ARNI,Active,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,THATCHUR,600010,11.135886,78.655845,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arni.ac.in,info@arni.ac.in,admissions@arni.ac.in,placement@arni.ac.in,+91-80-207-3849,Mechanical Engineering,B.Tech,60,240,2003,Rural,Yes,Yes
1-44639392802,1-44639392802,U-0650,CHEYYAR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,CHEYYAR POLYTECHNIC COLLEGE KULAMANDHAI VILLAGE ERUMAIVETTI POST CHEYYAR TALUK PIN-604401 THIRUVANNAMALAI DISTRICT TAMILNADU,604401,11.118804,78.651247,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.cheyyar.ac.in,info@cheyyar.ac.in,admissions@cheyyar.ac.in,placement@cheyyar.ac.in,+91-80-490-9147,Civil Engineering,Diploma,30,300,2017,Rural,Yes,Yes
1-44639392802,1-44639392802,U-0650,CHEYYAR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,CHEYYAR POLYTECHNIC COLLEGE KULAMANDHAI VILLAGE ERUMAIVETTI POST CHEYYAR TALUK PIN-604401 THIRUVANNAMALAI DISTRICT TAMILNADU,604401,11.118804,78.651247,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.cheyyar.ac.in,info@cheyyar.ac.in,admissions@cheyyar.ac.in,placement@cheyyar.ac.in,+91-80-490-9147,Mechanical Engineering,Diploma,120,300,2017,Rural,Yes,Yes
1-44639392802,1-44639392802,U-0650,CHEYYAR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,CHEYYAR POLYTECHNIC COLLEGE KULAMANDHAI VILLAGE ERUMAIVETTI POST CHEYYAR TALUK PIN-604401 THIRUVANNAMALAI DISTRICT TAMILNADU,604401,11.118804,78.651247,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.cheyyar.ac.in,info@cheyyar.ac.in,admissions@cheyyar.ac.in,placement@cheyyar.ac.in,+91-80-490-9147,Electrical & Electronics Engineering (EEE),Diploma,90,300,2017,Rural,Yes,Yes
1-44639392802,1-44639392802,U-0650,CHEYYAR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,CHEYYAR POLYTECHNIC COLLEGE KULAMANDHAI VILLAGE ERUMAIVETTI POST CHEYYAR TALUK PIN-604401 THIRUVANNAMALAI DISTRICT TAMILNADU,604401,11.118804,78.651247,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.cheyyar.ac.in,info@cheyyar.ac.in,admissions@cheyyar.ac.in,placement@cheyyar.ac.in,+91-80-490-9147,Electronics & Communication Engineering (ECE),Diploma,30,300,2017,Rural,Yes,Yes
1-44639392802,1-44639392802,U-0650,CHEYYAR POLYTECHNIC COLLEGE,Active,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,CHEYYAR POLYTECHNIC COLLEGE KULAMANDHAI VILLAGE ERUMAIVETTI POST CHEYYAR TALUK PIN-604401 THIRUVANNAMALAI DISTRICT TAMILNADU,604401,11.118804,78.651247,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.cheyyar.ac.in,info@cheyyar.ac.in,admissions@cheyyar.ac.in,placement@cheyyar.ac.in,+91-80-490-9147,Computer Science Engineering (CSE),Diploma,30,300,2017,Rural,Yes,Yes
1-44639400054,1-44639400054,U-0682,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Active,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,"ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING VADAMAVANDAL VILLAGE, NAMANDI POST,(NEAR KANCHIPURAM),",600010,11.115267,78.642877,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.arulmigumeenakshiamman.ac.in,info@arulmigumeenakshiamman.ac.in,admissions@arulmigumeenakshiamman.ac.in,placement@arulmigumeenakshiamman.ac.in,+91-80-342-5318,Civil Engineering,B.Tech,30,324,1999,Rural,Yes,Yes
1-44639400054,1-44639400054,U-0682,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Active,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,"ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING VADAMAVANDAL VILLAGE, NAMANDI POST,(NEAR KANCHIPURAM),",600010,11.115267,78.642877,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.arulmigumeenakshiamman.ac.in,info@arulmigumeenakshiamman.ac.in,admissions@arulmigumeenakshiamman.ac.in,placement@arulmigumeenakshiamman.ac.in,+91-80-342-5318,Mechanical Engineering,B.Tech,60,324,1999,Rural,Yes,Yes
