College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638368312,1-44638368312,U-0992,DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR,Active,Madhya Pradesh,Sagar,Sagar,"DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR CENTRAL UNIVERSITY, SAGAR MP 470003",470003,23.840971,78.753767,Central University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.drharisinghgour.ac.in,info@drharisinghgour.ac.in,admissions@drharisinghgour.ac.in,placement@drharisinghgour.ac.in,+91-80-929-9430,Computer Science Engineering (CSE),B.Tech,60,360,2014,Urban,No,Yes
1-44638368312,1-44638368312,U-0992,DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR,Active,Madhya Pradesh,Sagar,Sagar,"DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR CENTRAL UNIVERSITY, SAGAR MP 470003",470003,23.840971,78.753767,Central University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.drharisinghgour.ac.in,info@drharisinghgour.ac.in,admissions@drharisinghgour.ac.in,placement@drharisinghgour.ac.in,+91-80-929-9430,Electronics & Communication Engineering (ECE),B.Tech,60,360,2014,Urban,No,Yes
1-44638368312,1-44638368312,U-0992,DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR,Active,Madhya Pradesh,Sagar,Sagar,"DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR CENTRAL UNIVERSITY, SAGAR MP 470003",470003,23.840971,78.753767,Central University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.drharisinghgour.ac.in,info@drharisinghgour.ac.in,admissions@drharisinghgour.ac.in,placement@drharisinghgour.ac.in,+91-80-929-9430,Aeronautical Engineering,B.Tech,60,360,2014,Urban,No,Yes
1-44638368312,1-44638368312,U-0992,DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR,Active,Madhya Pradesh,Sagar,Sagar,"DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR CENTRAL UNIVERSITY, SAGAR MP 470003",470003,23.840971,78.753767,Central University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.drharisinghgour.ac.in,info@drharisinghgour.ac.in,admissions@drharisinghgour.ac.in,placement@drharisinghgour.ac.in,+91-80-929-9430,Other Engineering Branches,B.Tech,180,360,2014,Urban,No,Yes
1-44638331684,1-44638331684,U-0441,RADIANT INSTITUTE OF ENGINEERING AND MANAGEMENT,Active,Madhya Pradesh,Jabalpur,Jabalpur,BARELA ROAD KOSAMGHAT JABALPUR,452090,22.193536,79.941943,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.radiantmanagement.ac.in,info@radiantmanagement.ac.in,admissions@radiantmanagement.ac.in,placement@radiantmanagement.ac.in,+91-80-574-3692,Civil Engineering,Diploma,60,300,1996,Urban,Yes,Yes
1-44638331684,1-44638331684,U-0441,RADIANT INSTITUTE OF ENGINEERING AND MANAGEMENT,Active,Madhya Pradesh,Jabalpur,Jabalpur,BARELA ROAD KOSAMGHAT JABALPUR,452090,22.193536,79.941943,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.radiantmanagement.ac.in,info@radiantmanagement.ac.in,admissions@radiantmanagement.ac.in,placement@radiantmanagement.ac.in,+91-80-574-3692,Computer Science Engineering (CSE),Diploma,60,300,1996,Urban,Yes,Yes
1-44638331684,1-44638331684,U-0441,RADIANT INSTITUTE OF ENGINEERING AND MANAGEMENT,Active,Madhya Pradesh,Jabalpur,Jabalpur,BARELA ROAD KOSAMGHAT JABALPUR,452090,22.193536,79.941943,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.radiantmanagement.ac.in,info@radiantmanagement.ac.in,admissions@radiantmanagement.ac.in,placement@radiantmanagement.ac.in,+91-80-574-3692,Mechanical Engineering,Diploma,60,300,1996,Urban,Yes,Yes
1-44638331684,1-44638331684,U-0441,RADIANT INSTITUTE OF ENGINEERING AND MANAGEMENT,Active,Madhya Pradesh,Jabalpur,Jabalpur,BARELA ROAD KOSAMGHAT JABALPUR,452090,22.193536,79.941943,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.radiantmanagement.ac.in,info@radiantmanagement.ac.in,admissions@radiantmanagement.ac.in,placement@radiantmanagement.ac.in,+91-80-574-3692,Electrical & Electronics Engineering (EEE),Diploma,60,300,1996,Urban,Yes,Yes
1-44638331684,1-44638331684,U-0441,RADIANT INSTITUTE OF ENGINEERING AND MANAGEMENT,Active,Madhya Pradesh,Jabalpur,Jabalpur,BARELA ROAD KOSAMGHAT JABALPUR,452090,22.193536,79.941943,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.radiantmanagement.ac.in,info@radiantmanagement.ac.in,admissions@radiantmanagement.ac.in,placement@radiantmanagement.ac.in,+91-80-574-3692,Electrical Engineering,Diploma,60,300,1996,Urban,Yes,Yes
1-44638390364,1-44638390364,U-0441,VAISHNAVI INSTITUTES OF TECHNOLOGY AND SCIENCE,Active,Madhya Pradesh,Raisen,Raisen,"VILLAGE MENDUA,TEHSIL GOUHARGANJ",452808,22.955458,78.649965,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vaishnaviinstitutesscience.ac.in,info@vaishnaviinstitutesscience.ac.in,admissions@vaishnaviinstitutesscience.ac.in,placement@vaishnaviinstitutesscience.ac.in,+91-80-086-3315,Civil Engineering,B.Tech,30,408,2018,Urban,No,Yes
1-44638390364,1-44638390364,U-0441,VAISHNAVI INSTITUTES OF TECHNOLOGY AND SCIENCE,Active,Madhya Pradesh,Raisen,Raisen,"VILLAGE MENDUA,TEHSIL GOUHARGANJ",452808,22.955458,78.649965,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vaishnaviinstitutesscience.ac.in,info@vaishnaviinstitutesscience.ac.in,admissions@vaishnaviinstitutesscience.ac.in,placement@vaishnaviinstitutesscience.ac.in,+91-80-086-3315,Mechanical Engineering,B.Tech,60,408,2018,Urban,No,Yes
1-44638390364,1-44638390364,U-0441,VAISHNAVI INSTITUTES OF TECHNOLOGY AND SCIENCE,Active,Madhya Pradesh,Raisen,Raisen,"VILLAGE MENDUA,TEHSIL GOUHARGANJ",452808,22.955458,78.649965,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vaishnaviinstitutesscience.ac.in,info@vaishnaviinstitutesscience.ac.in,admissions@vaishnaviinstitutesscience.ac.in,placement@vaishnaviinstitutesscience.ac.in,+91-80-086-3315,Computer Science Engineering (CSE),B.Tech,180,408,2018,Urban,No,Yes
1-44638390364,1-44638390364,U-0441,VAISHNAVI INSTITUTES OF TECHNOLOGY AND SCIENCE,Active,Madhya Pradesh,Raisen,Raisen,"VILLAGE MENDUA,TEHSIL GOUHARGANJ",452808,22.955458,78.649965,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vaishnaviinstitutesscience.ac.in,info@vaishnaviinstitutesscience.ac.in,admissions@vaishnaviinstitutesscience.ac.in,placement@vaishnaviinstitutesscience.ac.in,+91-80-086-3315,Electrical Engineering,B.Tech,30,408,2018,Urban,No,Yes
1-44638390364,1-44638390364,U-0441,VAISHNAVI INSTITUTES OF TECHNOLOGY AND SCIENCE,Active,Madhya Pradesh,Raisen,Raisen,"VILLAGE MENDUA,TEHSIL GOUHARGANJ",452808,22.955458,78.649965,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vaishnaviinstitutesscience.ac.in,info@vaishnaviinstitutesscience.ac.in,admissions@vaishnaviinstitutesscience.ac.in,placement@vaishnaviinstitutesscience.ac.in,+91-80-086-3315,Computer Science Engineering (CSE),M.Tech,24,408,2018,Urban,No,Yes
1-44638390364,1-44638390364,U-0441,VAISHNAVI INSTITUTES OF TECHNOLOGY AND SCIENCE,Active,Madhya Pradesh,Raisen,Raisen,"VILLAGE MENDUA,TEHSIL GOUHARGANJ",452808,22.955458,78.649965,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vaishnaviinstitutesscience.ac.in,info@vaishnaviinstitutesscience.ac.in,admissions@vaishnaviinstitutesscience.ac.in,placement@vaishnaviinstitutesscience.ac.in,+91-80-086-3315,Other Engineering Branches,M.Tech,24,408,2018,Urban,No,Yes
1-44638390364,1-44638390364,U-0441,VAISHNAVI INSTITUTES OF TECHNOLOGY AND SCIENCE,Active,Madhya Pradesh,Raisen,Raisen,"VILLAGE MENDUA,TEHSIL GOUHARGANJ",452808,22.955458,78.649965,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vaishnaviinstitutesscience.ac.in,info@vaishnaviinstitutesscience.ac.in,admissions@vaishnaviinstitutesscience.ac.in,placement@vaishnaviinstitutesscience.ac.in,+91-80-086-3315,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,408,2018,Urban,No,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Mechanical Engineering,Diploma,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Civil Engineering,Diploma,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Computer Science Engineering (CSE),Diploma,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Electrical Engineering,Diploma,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Mining Engineering,Diploma,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Computer Science Engineering (CSE),B.Tech,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Mechanical Engineering,B.Tech,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Electrical Engineering,B.Tech,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Civil Engineering,B.Tech,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Mining Engineering,B.Tech,60,780,1984,Urban,Yes,Yes
